---- ukapsv01
13:53:14,257 \screen\at\ktg26\extractOvertime
13:53:24,121 \screen\at\correctionofdailyperformance\startScreen
13:53:28,697 \screen\at\correctionofdailyperformance\calcTime
13:53:45,510 \screen\at\correctionofdailyperformance\startScreen
13:54:04,329 \screen\at\ktg001\display
13:54:06,551 \screen\at\ktg26\extractOvertime
13:54:11,425 \screen\at\overtimehours\getEmployeesOvertimeData
13:54:36,307 \screen\at\ktg26\extractOvertime
13:54:38,250 \screen\at\overtimehours\getEmployeesOvertimeData
13:54:39,549 \screen\at\ktg001\display
13:54:41,716 \screen\at\ktg26\extractOvertime
13:54:46,391 \screen\at\overtimehours\getEmployeesOvertimeData
13:54:49,252 \at\request\application\applist\approverAfterConfirm
13:55:01,497 \screen\at\mobile\ccgs08\overtime\toppage
13:55:02,853 \screen\at\mobile\ccgs08\overtime\toppage
13:55:28,487 \screen\at\ktg001\display
13:55:30,858 \screen\at\ktg26\extractOvertime
13:55:35,871 \screen\at\overtimehours\getEmployeesOvertimeData
13:55:57,316 \screen\at\ktg001\display
13:55:59,503 \screen\at\ktg26\extractOvertime
13:56:04,129 \screen\at\overtimehours\getEmployeesOvertimeData
13:56:11,270 \screen\at\ktg26\extractOvertime
13:56:13,064 \screen\at\overtimehours\getEmployeesOvertimeData
13:56:42,249 \screen\at\correctionofdailyperformance\calcTime
13:56:51,963 \screen\at\correctionofdailyperformance\calcTime
13:56:57,405 \screen\at\correctionofdailyperformance\addAndUpdate
13:56:59,862 \screen\at\correctionofdailyperformance\loadRow
13:57:00,588 \at\request\dialog\annualholidays\findAnnualHolidays
13:57:02,915 \screen\at\correctionofdailyperformance\startScreen
13:57:03,361 \screen\at\correctionofdailyperformance\execMonthlyAggregateAsync
13:57:07,688 \screen\at\correctionofdailyperformance\loadRow
13:58:36,808 \screen\at\correctionofdailyperformance\startScreen
13:59:15,089 \screen\at\correctionofdailyperformance\addAndUpdate
13:59:17,598 \screen\at\correctionofdailyperformance\loadRow
13:59:18,924 \screen\at\correctionofdailyperformance\execMonthlyAggregateAsync
13:59:24,113 \screen\at\correctionofdailyperformance\loadRow
13:59:44,282 \screen\at\correctionofdailyperformance\calcTime
13:59:45,319 \screen\at\correctionofdailyperformance\addAndUpdate
13:59:47,753 \screen\at\correctionofdailyperformance\loadRow
14:00:03,888 \screen\at\correctionofdailyperformance\calcTime
14:00:16,047 \screen\at\correctionofdailyperformance\calcTime
14:00:17,512 \screen\at\ktg26\extractOvertime
14:00:19,373 \screen\at\correctionofdailyperformance\calcTime
14:00:22,104 \screen\at\overtimehours\getEmployeesOvertimeData
14:00:23,580 \screen\at\correctionofdailyperformance\calcTime
14:00:27,802 \screen\at\correctionofdailyperformance\calcTime
14:00:31,475 \screen\at\correctionofdailyperformance\calcTime
14:00:31,619 \at\request\application\overtime\start
14:00:37,206 \screen\at\correctionofdailyperformance\addAndUpdate
14:00:39,921 \screen\at\correctionofdailyperformance\loadRow
14:00:41,694 \screen\at\correctionofdailyperformance\execMonthlyAggregateAsync
14:00:46,347 \screen\at\correctionofdailyperformance\loadRow
14:00:53,575 \screen\at\ktg26\extractOvertime
14:00:58,510 \screen\at\overtimehours\getEmployeesOvertimeData


---- ukapsv07
13:50:22,664 \screen\at\correctionofdailyperformance\addAndUpdate
13:50:24,691 \screen\at\correctionofdailyperformance\loadRow
13:50:26,016 \screen\at\correctionofdailyperformance\execMonthlyAggregateAsync
13:50:30,741 \screen\at\correctionofdailyperformance\loadRow
13:51:11,600 \screen\at\correctionofdailyperformance\calcTime
13:51:12,551 \screen\at\correctionofdailyperformance\calcTime
13:51:17,794 \screen\at\correctionofdailyperformance\addAndUpdate
13:51:19,751 \screen\at\correctionofdailyperformance\loadRow
13:51:20,945 \screen\at\correctionofdailyperformance\execMonthlyAggregateAsync
13:51:24,239 \screen\at\correctionofdailyperformance\loadRow
13:51:25,934 \screen\at\ktg004\getData
13:51:29,492 \screen\at\overtimehours\getEmployeesOvertimeData
